author;score;num_comments;p_score
140841;-59.0;59;-1.0
560923;-13.0;59;-0.22033898305084745
331842;-51.0;60;-0.85
301265;-34.5;60;-0.575
624542;-18.0;60;-0.3
164036;-29.5;60;-0.49166666666666664
601834;-46.0;60;-0.7666666666666667
528814;-25.0;61;-0.4098360655737705
257813;-34.0;61;-0.5573770491803278
408583;25.0;61;0.4098360655737705
348434;-29.0;61;-0.47540983606557374
456588;-21.5;61;-0.3524590163934426
480747;-30.5;62;-0.49193548387096775
255989;-57.0;62;-0.9193548387096774
285922;9.5;62;0.1532258064516129
37086;-26.5;62;-0.4274193548387097
578886;-34.5;63;-0.5476190476190477
575577;-14.0;63;-0.2222222222222222
148821;23.0;63;0.36507936507936506
538778;-60.0;63;-0.9523809523809523
459526;-12.5;64;-0.1953125
109962;-42.5;64;-0.6640625
471402;-56.0;64;-0.875
569014;61.5;65;0.9461538461538461
53545;-59.5;65;-0.9153846153846154
47576;51.5;65;0.7923076923076923
181462;6.0;66;0.09090909090909091
601184;-4.5;66;-0.06818181818181818
48112;2.0;66;0.030303030303030304
426696;-65.5;66;-0.9924242424242424
275373;44.0;66;0.6666666666666666
260538;-45.5;68;-0.6691176470588235
603776;-59.0;68;-0.8676470588235294
258492;-65.5;69;-0.9492753623188406
569182;-47.0;69;-0.6811594202898551
174063;-42.5;71;-0.5985915492957746
104609;-66.5;71;-0.9366197183098591
33985;-30.5;71;-0.4295774647887324
600977;-66.5;71;-0.9366197183098591
45429;-12.0;73;-0.1643835616438356
285832;45.0;73;0.6164383561643836
395317;66.0;74;0.8918918918918919
161854;8.0;74;0.10810810810810811
607771;-19.0;75;-0.25333333333333335
261090;-65.5;76;-0.8618421052631579
28277;53.5;76;0.7039473684210527
350591;-38.5;77;-0.5
602772;-16.0;77;-0.2077922077922078
51901;-38.0;79;-0.4810126582278481
219194;73.0;80;0.9125
80461;-26.0;81;-0.32098765432098764
431743;56.0;81;0.691358024691358
546574;-64.0;81;-0.7901234567901234
468646;-26.5;81;-0.3271604938271605
648917;49.5;82;0.6036585365853658
410664;-3.0;85;-0.03529411764705882
479773;26.5;85;0.31176470588235294
69324;40.0;86;0.46511627906976744
231103;54.0;86;0.627906976744186
309506;80.5;86;0.936046511627907
582717;-14.0;87;-0.16091954022988506
228835;20.5;87;0.23563218390804597
467055;-81.0;87;-0.9310344827586207
50128;39.0;87;0.4482758620689655
457735;-30.0;88;-0.3409090909090909
16863;-43.5;90;-0.48333333333333334
78514;53.0;90;0.5888888888888889
327924;-37.0;91;-0.4065934065934066
626694;-74.0;91;-0.8131868131868132
131233;26.0;92;0.2826086956521739
570736;-3.5;92;-0.03804347826086957
173248;-90.5;92;-0.9836956521739131
